No.,Title,Theme,Language,Compile Status,Author / Year / Publisher,Notes
1,To God Be The Glory,ADORATION,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby / W.H. Doane, 1875",
2,Holy Holy Holy,ADORATION,ENGLISH,PUBLIC DOMAIN,"Reginald Heber, 1826",
3,How Great Thou Art,ADORATION,ENGLISH,MIXED — verify version,"Swedish poem (Boberg 1885) is PD, but the English version everyone sings is Stuart Hine's 1949/53 translation -- still copyrighted (Manna Music/Hope Publishing)",TRAP: needs CCLI
4,"Praise To The Lord, The Almighty",ADORATION,ENGLISH,PUBLIC DOMAIN,Joachim Neander 1680; trans. Catherine Winkworth 1863,
5,Wonderful Grace Of Jesus,ADORATION,ENGLISH,PUBLIC DOMAIN,"Haldor Lillenas, 1918",
6,I Stand Amazed In The Presence,ADORATION,ENGLISH,PUBLIC DOMAIN,"Charles H. Gabriel, 1905 (""My Savior's Love"")",
7,Amazing Grace,ADORATION,ENGLISH,PUBLIC DOMAIN,"John Newton, 1779",
8,There Is Sunshine In My Soul,ADORATION,ENGLISH,PUBLIC DOMAIN,"Eliza E. Hewitt, 1887",
9,He Keeps Me Singing,ADORATION,ENGLISH,PUBLIC DOMAIN,"Luther B. Bridgers, 1910",
10,Battle Hymn Of The Republic (Mine Eyes Have Seen The Glory),ADORATION,ENGLISH,PUBLIC DOMAIN,"Julia Ward Howe, 1861/62",
11,Glory To His Name,ADORATION,ENGLISH,PUBLIC DOMAIN,"Elisha A. Hoffman, 1878",
12,Shall We Gather At The River,BAPTISM,ENGLISH,PUBLIC DOMAIN,"Robert Lowry, 1864",
13,I Have Decided To Follow Jesus,BAPTISM,ENGLISH,PUBLIC DOMAIN,"Traditional, 19th c. India origin (Nokseng); no modern copyright holder found",
14,Wonderful Words Of Life,BIBLE,ENGLISH,PUBLIC DOMAIN,"Philip P. Bliss, 1874",
15,Angels We Have Heard On High,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,"Traditional French carol; trans. James Chadwick, 1862",
16,Joy To The World,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,"Isaac Watts, 1719; tune arr. Lowell Mason, 1848",
17,O Come All Ye Faithful,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,"John Francis Wade, ~1743; trans. Frederick Oakeley, 1841",
18,Silent Night,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,"Mohr/Gruber, 1818; trans. John F. Young, 1859",
19,Hark The Herald Angels Sing,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,"Charles Wesley, 1739; Mendelssohn tune, 1840",
20,Turn Your Eyes Upon Jesus,CONTEMPORARY HYMNS,ENGLISH,PUBLIC DOMAIN,"Helen H. Lemmel, 1922",
21,Family Of God,FELLOWSHIP,ENGLISH,COPYRIGHTED — needs CCLI,"William J. & Gloria Gaither, 1970, Gaither Music Company",needs CCLI
